input_set,population,bits,generations,mutation_rate,seed,threads,sequential_median_seconds,parallel_one_thread_median_seconds,parallel_median_seconds,scaling_speedup,scaling_efficiency,baseline_speedup,sequential_samples,parallel_samples
pequeno,1000,1000,100,0.001,42,1,0.569839000,0.413452500,0.413452500,1.000000,1.000000,1.378245,10,10
pequeno,1000,1000,100,0.001,42,2,0.569839000,0.413452500,0.215607000,1.917621,0.958810,2.642952,10,10
pequeno,1000,1000,100,0.001,42,4,0.569839000,0.413452500,0.205126500,2.015598,0.503899,2.777988,10,10
pequeno,1000,1000,100,0.001,42,8,0.569839000,0.413452500,0.149068000,2.773583,0.346698,3.822678,10,10
medio,2000,2000,100,0.0005,42,1,2.292098000,1.686375500,1.686375500,1.000000,1.000000,1.359186,10,10
medio,2000,2000,100,0.0005,42,2,2.292098000,1.686375500,0.869228000,1.940084,0.970042,2.636935,10,10
medio,2000,2000,100,0.0005,42,4,2.292098000,1.686375500,0.765839500,2.201996,0.550499,2.992922,10,10
medio,2000,2000,100,0.0005,42,8,2.292098000,1.686375500,0.463788500,3.636087,0.454511,4.942119,10,10
grande,4000,2000,100,0.0005,42,1,4.533818500,3.378741000,3.378741000,1.000000,1.000000,1.341866,10,10
grande,4000,2000,100,0.0005,42,2,4.533818500,3.378741000,1.752821500,1.927601,0.963801,2.586583,10,10
grande,4000,2000,100,0.0005,42,4,4.533818500,3.378741000,1.571360500,2.150201,0.537550,2.885282,10,10
grande,4000,2000,100,0.0005,42,8,4.533818500,3.378741000,0.934007000,3.617469,0.452184,4.854159,10,10
